City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
punta arenas,75,CL,1538341200,44,-53.16,-70.91,39.2,17.22
salalah,20,OM,1538340600,78,17.01,54.1,77.0,4.7
haines junction,0,CA,1538345715,37,60.75,-137.51,45.35,2.73
vila franca do campo,20,PT,1538343000,82,37.72,-25.43,68.0,9.17
barrow,92,AR,1538345408,90,-38.31,-60.23,48.5,10.22
east london,0,ZA,1538345196,87,-33.02,27.91,74.33,24.09
vostok,0,RU,1538345510,82,46.45,135.83,32.75,2.17
indramayu,24,ID,1538345716,80,-4.05,103.78,72.53,1.95
port lincoln,80,AU,1538345423,77,-34.72,135.86,58.49,14.25
te anau,76,NZ,1538345428,100,-45.41,167.72,43.55,2.51
mataura,76,NZ,1538345411,97,-46.19,168.86,47.42,4.63
saint george,90,GR,1538344200,93,39.45,22.34,59.0,11.41
lata,0,IN,1538345448,82,30.78,78.62,47.69,2.28
hobart,75,AU,1538343000,70,-42.88,147.33,46.4,5.82
kapaa,75,US,1538342340,91,22.08,-159.32,82.94,9.17
iqaluit,90,CA,1538341200,68,63.75,-68.52,30.2,25.28
namatanai,0,PG,1538345495,100,-3.66,152.44,82.97,5.64
nabire,92,ID,1538345716,99,-3.36,135.5,68.3,1.95
waingapu,0,ID,1538345526,92,-9.65,120.26,69.83,7.09
georgetown,20,GY,1538341200,70,6.8,-58.16,84.2,13.87
vaini,76,IN,1538345406,94,15.34,74.49,71.99,2.39
tual,32,ID,1538345717,99,-5.67,132.75,80.09,13.13
carnarvon,92,ZA,1538345416,36,-30.97,22.13,69.11,13.24
bluff,68,AU,1538345414,77,-23.58,149.07,63.71,12.91
narsaq,92,GL,1538344200,80,60.91,-46.05,39.2,14.99
saskylakh,80,RU,1538345411,100,71.97,114.09,32.03,12.35
sibu,75,MY,1538341200,100,2.29,111.83,77.0,1.12
northam,0,GB,1538344200,66,51.04,-4.21,51.8,9.17
ambanja,0,MG,1538345717,90,-13.68,48.45,65.78,1.95
dikson,12,RU,1538345427,91,73.51,80.55,40.13,25.88
obo,12,CF,1538345718,90,5.39,26.49,70.73,2.84
pobe,68,BJ,1538345718,85,6.98,2.66,78.11,7.54
peniche,0,PT,1538343000,88,39.36,-9.38,64.4,11.41
vila velha,20,BR,1538344800,74,-3.71,-38.6,80.6,11.41
kupang,20,ID,1538343000,88,-10.16,123.6,73.4,6.93
port keats,0,AU,1538345718,67,-14.25,129.55,71.99,12.68
reading,1,US,1538344560,58,40.34,-75.93,71.06,5.82
chokurdakh,92,RU,1538345411,96,70.62,147.9,32.57,11.23
xuddur,76,SO,1538345719,82,4.12,43.89,73.34,9.66
chiang kham,90,TH,1538344800,100,19.53,100.3,73.4,3.36
peterhead,0,AU,1538344800,16,-34.83,138.5,66.2,14.99
katsuura,20,JP,1538343660,64,33.93,134.5,73.4,28.86
khatanga,92,RU,1538345429,97,71.98,102.47,39.86,15.26
tuktoyaktuk,90,CA,1538341200,86,69.44,-133.03,30.2,5.82
vardo,90,US,1538344500,70,39.62,-77.74,75.2,3.36
geraldton,75,CA,1538341200,75,49.72,-86.95,41.0,9.17
tabas,0,IR,1538345720,26,33.6,56.92,52.37,2.73
dakar,20,SN,1538341200,88,14.69,-17.45,80.6,4.07
jamestown,0,AU,1538345375,46,-33.21,138.6,46.97,10.78
quthing,0,LS,1538345720,74,-30.4,27.7,50.84,3.74
kindu,44,CD,1538345720,96,-2.95,25.92,71.18,1.95
aklavik,90,CA,1538341200,74,68.22,-135.01,33.8,4.7
hilo,20,US,1538340960,61,19.71,-155.08,86.0,8.05
sitka,0,US,1538345467,41,37.17,-99.65,89.18,20.29
barentu,24,ER,1538345721,82,15.11,37.59,64.34,2.73
matelica,0,IT,1538344200,71,43.26,13.01,57.2,6.93
igarka,0,RU,1538345433,96,67.47,86.57,37.43,8.55
lagoa,0,PT,1538343000,83,37.14,-8.45,73.4,8.05
arnprior,90,CA,1538344800,76,45.44,-76.36,50.0,4.7
bathsheba,40,BB,1538341200,74,13.22,-59.52,82.4,16.11
biak,64,ID,1538345721,100,-0.91,122.88,75.41,5.08
portland,75,US,1538340960,48,45.52,-122.67,66.92,8.05
souillac,0,FR,1538344800,71,45.6,-0.6,55.4,6.93
moshupa,0,BW,1538341200,45,-24.78,25.42,68.0,8.05
guerrero negro,92,MX,1538345470,50,27.97,-114.04,84.95,5.3
pevek,24,RU,1538345528,83,69.7,170.27,48.5,15.59
albany,75,US,1538344440,55,42.65,-73.75,62.96,4.7
leh,88,IN,1538345664,83,34.16,77.58,12.68,1.83
cherskiy,92,RU,1538345413,82,68.75,161.3,40.67,3.85
makakilo city,75,US,1538341860,78,21.35,-158.09,87.08,8.05
torbay,20,CA,1538341200,93,47.66,-52.73,46.4,10.29
fengzhen,0,CN,1538345722,70,40.43,113.15,40.4,8.43
sur,0,OM,1538345477,98,22.57,59.53,81.8,6.2
jalu,0,LY,1538345722,40,29.03,21.55,73.52,10.0
itarema,0,BR,1538345472,65,-2.92,-39.92,81.44,17.49
balaipungut,56,ID,1538345723,98,1.11,101.31,73.07,3.74
cairns,20,AU,1538344800,54,-16.92,145.77,78.8,20.8
lompoc,1,US,1538343300,32,34.64,-120.46,82.4,13.87
high level,75,CA,1538344800,36,58.52,-117.13,44.6,5.82
pizarro,80,CO,1538345723,97,4.95,-77.37,79.28,6.53
thompson,90,CA,1538341200,59,55.74,-97.86,33.8,14.99
kantunilkin,75,MX,1538340120,94,21.1,-87.49,77.0,2.24
kavieng,88,PG,1538345409,100,-2.57,150.8,83.96,5.97
marawi,12,PH,1538345506,95,8.0,124.29,64.52,1.83
hofn,24,IS,1538345431,100,64.25,-15.21,39.68,4.74
port elizabeth,1,US,1538344500,58,39.31,-74.98,73.04,4.63
mar del plata,68,AR,1538345393,49,-46.43,-67.52,44.63,12.12
lyuban,0,BY,1538345724,78,52.8,28.0,41.57,10.67
quang ngai,92,VN,1538345724,100,15.12,108.8,71.36,2.28
rio gallegos,40,AR,1538341200,41,-51.62,-69.22,39.2,23.04
ambikapur,8,IN,1538345724,83,23.12,83.2,66.32,2.73
yellowknife,90,CA,1538341200,100,62.45,-114.38,32.0,8.05
kodino,92,RU,1538345724,95,63.72,39.64,42.47,6.98
port alfred,8,ZA,1538345430,70,-33.59,26.89,72.53,10.33
senno,80,RU,1538345511,88,57.76,27.95,49.4,20.07
qaanaaq,0,GL,1538345426,100,77.48,-69.36,12.68,5.75
airai,0,TL,1538345489,78,-8.93,125.41,56.87,2.06
bodo,48,CI,1538345725,96,5.91,-4.68,74.78,2.62
usinsk,68,RU,1538345473,92,66.0,57.56,32.03,8.21
cape town,0,ZA,1538341200,87,-33.93,18.42,59.0,9.17
nantucket,1,US,1538343300,52,41.28,-70.1,66.02,9.17
guadalupe y calvo,44,MX,1538345725,83,26.09,-106.96,67.67,2.28
jorochito,40,BO,1538341200,66,-18.06,-63.43,84.2,17.22
nikolskoye,40,RU,1538343000,81,59.7,30.79,50.0,8.95
grand-santi,0,GF,1538345726,33,4.27,-54.38,93.68,3.62
sao joao da barra,0,BR,1538341200,83,-21.64,-41.05,75.2,10.29
areka,88,ET,1538345726,97,7.07,37.71,56.87,1.83
udachnyy,92,RU,1538345726,87,66.42,112.4,38.78,3.62
setermoen,88,NO,1538344200,100,68.86,18.35,39.2,4.7
ornskoldsvik,0,SE,1538344200,80,63.29,18.72,39.2,6.93
iquique,0,CL,1538341200,63,-20.22,-70.14,66.2,13.87
winchester,0,GB,1538344200,66,51.06,-1.31,50.0,4.7
vestmannaeyjar,88,IS,1538345507,97,63.44,-20.27,40.85,10.0
cidreira,64,BR,1538345491,77,-30.17,-50.22,77.66,10.78
hithadhoo,36,MV,1538345411,100,-0.6,73.08,83.15,15.82
straumen,90,NO,1538344200,87,63.87,11.3,42.8,14.99
soltsy,92,RU,1538345728,93,58.12,30.32,49.04,12.68
muros,0,ES,1538344800,82,42.77,-9.06,57.2,10.29
sena madureira,0,BR,1538345686,47,-9.07,-68.66,92.15,3.4
lebu,0,ET,1538345413,72,8.96,38.73,50.93,5.19
broken hill,0,AU,1538345728,64,-31.97,141.45,43.19,6.31
naze,40,NG,1538341200,94,5.43,7.07,78.8,2.24
olga,1,US,1538344680,33,34.11,-118.17,93.02,11.41
fortuna,0,ES,1538344800,77,38.18,-1.13,69.8,3.36
usta muhammad,0,PK,1538345728,59,28.18,68.05,72.08,2.17
soyo,8,AO,1538345443,87,-6.13,12.37,74.78,5.75
ixtapa,40,MX,1538340660,70,20.71,-105.21,87.8,9.17
tessalit,36,ML,1538345729,28,20.2,1.01,86.21,9.66
margate,75,AU,1538344800,61,-43.03,147.26,50.0,9.17
karonga,0,MW,1538345729,91,-9.94,33.93,76.58,12.68
melfi,5,IT,1538340900,87,41.0,15.66,53.6,13.87
bethel,75,US,1538344380,62,60.79,-161.76,59.0,16.11
ponta do sol,88,BR,1538345424,100,-20.63,-46.0,65.42,3.18
chuy,92,UY,1538345455,99,-33.69,-53.46,65.69,11.23
nador,0,MA,1538344800,72,35.17,-2.93,68.0,3.36
batemans bay,0,AU,1538345504,100,-35.71,150.18,47.15,3.74
hasaki,75,JP,1538343000,73,35.73,140.83,78.8,16.11
milkovo,92,BG,1538344800,100,41.53,24.68,59.0,4.7
lorengau,0,PG,1538345268,100,-2.02,147.27,82.97,10.67
moron,48,VE,1538345730,76,10.49,-68.2,80.63,3.06
fare,64,PF,1538345730,100,-16.7,-151.02,77.21,12.68
pavlodar,0,KZ,1538343000,75,52.28,76.96,46.4,6.71
minudasht,88,IR,1538345730,90,37.23,55.37,65.6,3.18
nurota,0,UZ,1538343000,30,40.56,65.69,55.4,2.24
porto novo,75,BR,1538344800,94,-23.68,-45.44,68.0,5.82
cacule,0,BR,1538345731,28,-14.5,-42.22,82.61,12.46
victor harbor,0,AU,1538344800,16,-35.55,138.62,66.2,14.99
mandalgovi,0,MN,1538345731,77,45.76,106.27,28.61,6.76
lamont,20,CA,1538344800,44,53.76,-112.78,39.2,8.05
cabo san lucas,40,MX,1538340120,70,22.89,-109.91,86.0,5.82
tasiilaq,92,GL,1538344200,100,65.61,-37.64,32.0,23.04
new norfolk,75,AU,1538343000,70,-42.78,147.06,46.4,5.82
ongandjera,92,NA,1538345732,16,-17.88,15.07,87.11,11.56
mozarlandia,80,BR,1538345732,53,-14.74,-50.57,86.48,2.62
bambous virieux,40,MU,1538341200,88,-20.34,57.76,68.0,5.82
yingcheng,0,CN,1538341200,59,30.93,113.57,60.8,2.24
esperance,40,TT,1538341200,94,10.24,-61.45,77.0,8.05
turayf,0,SA,1538341200,30,31.68,38.65,80.6,4.7
mildura,0,AU,1538345732,70,-34.18,142.16,42.83,3.85
marabba,0,SD,1538345732,54,12.35,32.18,82.07,7.43
kailua,90,US,1538341860,81,21.39,-157.74,87.08,12.75
tiksi,32,RU,1538345453,99,71.64,128.87,24.74,5.19
katherine,0,AU,1538344800,46,-14.47,132.26,69.8,4.7
arraial do cabo,0,BR,1538341200,73,-22.97,-42.02,75.2,12.75
port-gentil,75,GA,1538341200,88,-0.72,8.78,80.6,9.17
tilichiki,88,RU,1538345733,96,60.47,166.1,37.43,3.74
henties bay,0,NA,1538345733,86,-22.12,14.28,59.66,5.3
college,1,US,1538344680,9,64.86,-147.8,53.06,4.07
casas grandes,8,MX,1538345734,36,30.15,-110.24,89.81,2.73
jalpa,75,MX,1538340540,38,21.63,-102.98,75.2,5.82
mattru,92,SL,1538345734,100,7.62,-11.83,72.44,2.84
wasilla,1,US,1538344560,69,61.58,-149.44,53.96,4.7
derzhavinsk,36,KZ,1538345734,71,51.1,66.31,49.4,10.56
schio,5,IT,1538344500,100,45.71,11.36,59.0,4.7
faanui,80,PF,1538345490,100,-16.48,-151.75,77.03,12.24
jishou,24,CN,1538345735,83,28.26,109.7,57.32,4.07
atbasar,20,KZ,1538345735,76,51.81,68.36,47.15,10.22
shimoda,20,JP,1538343000,78,34.7,138.93,71.6,20.8
bredasdorp,32,ZA,1538341200,87,-34.53,20.04,59.0,9.17
tuatapere,56,NZ,1538345407,100,-46.13,167.69,47.87,4.41
staraya toropa,32,RU,1538345735,68,56.28,31.67,46.7,18.28
weligama,80,LK,1538345735,100,5.97,80.42,77.57,9.22
tokonou,36,GN,1538345736,97,9.65,-9.78,70.37,3.4
emerald,88,AU,1538345736,81,-23.53,148.16,63.98,12.8
kamalpur,44,BD,1538345736,92,24.17,91.81,76.85,2.28
agua verde,75,MX,1538340060,62,22.89,-105.97,89.6,10.29
tabuk,24,PH,1538345736,97,17.41,121.44,66.68,1.05
pacific grove,1,US,1538344500,50,36.62,-121.92,80.6,9.17
calama,0,CL,1538341200,3,-22.46,-68.93,77.0,24.16
kota,0,IN,1538345737,72,25.17,75.86,69.56,3.06
ubinskoye,20,RU,1538345737,68,55.31,79.68,46.43,9.22
ureshino,75,JP,1538343000,56,33.13,130.06,68.0,12.75
benguela,20,AO,1538345737,95,-12.58,13.4,71.0,7.99
goulburn,0,AU,1538345737,81,-34.75,149.72,40.85,2.28
sioux lookout,75,CA,1538344800,38,50.1,-91.92,41.0,12.75
norman wells,90,CA,1538344800,74,65.28,-126.83,33.8,5.82
rumphi,0,MW,1538345738,64,-11.02,33.86,62.0,5.41
castro,44,CL,1538345738,77,-42.48,-73.76,44.81,8.32
camacha,40,PT,1538344800,78,33.08,-16.33,71.6,11.41
pringsewu,44,ID,1538345739,91,-5.36,104.98,73.61,3.29
avarua,20,CK,1538341200,53,-21.21,-159.78,75.2,8.05
nanchang,44,CN,1538345475,74,28.68,115.89,62.54,5.75
tinaquillo,48,VE,1538345739,76,9.92,-68.31,80.63,3.06
yining,68,CN,1538345739,58,29.04,114.56,55.61,4.18
hirara,20,JP,1538343000,69,24.8,125.28,75.2,9.17
harper,75,US,1538344500,59,30.3,-99.24,84.02,8.99
taloqan,44,AF,1538345740,56,36.74,69.54,50.48,3.74
road town,20,VG,1538341200,70,18.42,-64.62,86.0,5.82
dicabisagan,48,PH,1538345740,100,17.08,122.42,75.41,5.64
det udom,20,TH,1538344800,94,14.9,105.08,75.2,3.36
shache,20,CN,1538345741,63,38.42,77.24,45.8,2.84
kirakira,0,SB,1538345741,95,-10.46,161.92,84.05,6.64
kaitangata,68,NZ,1538345741,93,-46.28,169.85,47.78,4.97
pundaguitan,12,PH,1538345741,100,6.37,126.17,81.53,5.19
harstad,92,NO,1538344200,93,68.8,16.53,41.0,4.7
richards bay,0,ZA,1538345741,70,-28.77,32.06,66.5,14.92
cayenne,0,GF,1538343000,78,4.94,-52.33,82.4,6.93
palmer,0,AU,1538344800,16,-34.85,139.16,66.2,14.99
pandharpur,24,IN,1538345742,89,17.68,75.33,72.53,5.41
leningradskiy,68,RU,1538345742,88,69.38,178.42,42.29,23.09
sao filipe,88,CV,1538345452,93,14.9,-24.5,79.73,5.97
knarvik,92,NO,1538345742,100,60.55,5.29,42.83,1.95
mahina,36,ML,1538345743,90,13.76,-10.85,77.66,2.73
nanortalik,88,GL,1538345743,92,60.14,-45.24,38.96,13.35
elizabeth city,1,US,1538344740,59,36.3,-76.22,77.36,11.41
palora,56,EC,1538345743,91,-1.7,-77.97,70.1,1.72
yerbogachen,92,RU,1538345743,98,61.28,108.01,41.66,9.33
barguzin,12,RU,1538345743,95,53.62,109.63,28.97,1.83
adjumani,68,UG,1538345744,92,3.38,31.79,68.84,2.95
mahebourg,40,MU,1538341200,88,-20.41,57.7,68.0,5.82
brazzaville,36,CD,1538341200,69,-4.27,15.27,80.6,4.7
marzuq,0,YE,1538345744,34,14.4,46.47,59.93,4.52
oksfjord,75,NO,1538344200,75,70.24,22.35,41.0,4.7
upernavik,76,GL,1538345744,100,72.79,-56.15,34.37,8.88
tooele,1,US,1538344560,23,40.53,-112.3,79.52,14.99
saint-pierre,75,FR,1538344800,76,48.95,4.24,50.0,9.17
coahuayana,20,MX,1538345745,65,18.62,-100.35,81.62,2.62
dalvik,68,SE,1538344200,93,57.79,14.13,42.8,9.17
labytnangi,0,RU,1538345745,87,66.66,66.39,28.88,9.1
jucurutu,88,BR,1538345745,31,-6.03,-37.02,91.61,7.65
gizo,40,IL,1538344200,74,31.8,34.94,80.6,3.36
samarai,92,PG,1538345746,100,-10.62,150.67,76.58,20.62
boden,0,SE,1538344200,75,65.83,21.69,41.0,5.82
cockburn town,80,TC,1538345746,100,21.46,-71.14,82.16,18.95
kavaratti,68,IN,1538345747,100,10.57,72.64,81.62,9.33
selfoss,0,IS,1538341200,64,63.94,-21.0,39.2,8.05
besuki,8,ID,1538345747,100,-7.73,113.69,71.63,5.19
vuktyl,88,RU,1538345747,93,63.86,57.31,34.73,4.74
port blair,20,IN,1538345747,100,11.67,92.75,84.05,1.72
nueva helvecia,44,UY,1538345748,96,-34.28,-57.23,68.03,5.97
trincomalee,56,LK,1538345517,98,8.58,81.23,73.7,4.63
mount isa,0,AU,1538344800,24,-20.73,139.49,78.8,1.12
tadine,92,NC,1538345748,100,-21.55,167.88,71.18,22.08
kalemie,12,CD,1538345748,78,-5.95,29.2,82.25,12.35
miram shah,0,PK,1538345748,83,33.01,70.07,55.07,3.74
sheridan,75,US,1538344680,46,39.65,-105.03,68.0,6.93
mackay,90,CA,1538344800,55,53.65,-115.58,35.6,11.41
fairbanks,1,US,1538344680,9,64.84,-147.72,53.06,4.07
pontianak,75,ID,1538341200,94,-0.02,109.34,75.2,3.51
mantua,40,IT,1538344500,58,45.16,10.79,60.8,3.36
helena,90,US,1538344380,74,46.59,-112.04,37.4,3.36
koulamoutou,24,GA,1538345750,99,-1.13,12.47,71.45,2.51
victoria,75,BN,1538344800,94,5.28,115.24,77.0,3.36
chapais,75,CA,1538341200,64,49.78,-74.86,35.6,8.05
sao gabriel da cachoeira,48,BR,1538345750,91,-0.13,-67.09,80.99,2.17
praia da vitoria,75,PT,1538344800,94,38.73,-27.07,68.0,22.64
lakes entrance,0,AU,1538345472,100,-37.88,147.99,47.06,3.74
ahipara,88,NZ,1538345751,74,-35.17,173.16,60.38,12.01
mocuba,92,MZ,1538345751,96,-16.84,36.99,67.31,5.41
arica,0,CL,1538341200,63,-18.48,-70.32,68.0,11.41
erenhot,48,CN,1538345751,77,43.65,111.97,37.7,10.11
veraval,0,FR,1538344800,81,49.65,0.71,55.4,3.36
yondo,8,CO,1538345752,69,7.01,-73.91,88.73,2.73
cruzeiro do sul,40,BR,1538341200,74,-7.63,-72.67,82.4,3.36
ancud,48,CL,1538345752,88,-41.87,-73.83,42.65,8.99
banda aceh,64,ID,1538345752,100,5.56,95.32,73.97,2.84
nexo,76,DK,1538344200,76,55.06,15.13,55.4,11.41
coquimbo,0,CL,1538341200,67,-29.95,-71.34,60.8,13.87
naryan-mar,12,RU,1538345726,100,67.67,53.09,34.28,17.05
ashoknagar,0,IN,1538345753,72,24.58,77.73,70.73,2.95
bandarbeyla,24,SO,1538345535,100,9.49,50.81,76.4,17.38
el tarra,20,CO,1538345753,79,8.57,-73.09,76.94,2.51
rawson,88,AR,1538345754,26,-43.3,-65.11,50.12,12.57
saint-augustin,0,FR,1538344800,81,44.83,-0.61,53.6,6.93
aksum,0,ET,1538345754,81,14.12,38.72,54.35,2.51
volgorechensk,92,RU,1538345754,79,57.44,41.16,46.61,21.07
pokhara,68,NP,1538345755,68,28.21,83.99,58.67,3.4
gryazovets,92,RU,1538345755,95,58.88,40.25,45.71,21.07
sigulda,0,LV,1538344200,76,57.15,24.86,48.2,9.17
antofagasta,40,CL,1538341200,72,-23.65,-70.4,62.6,11.41
ostrovnoy,80,RU,1538345755,97,68.05,39.51,35.27,8.77
castelnau-le-lez,0,FR,1538344800,37,43.64,3.91,69.8,10.29
kropotkin,0,RU,1538345755,68,45.43,40.58,57.5,9.55
marfino,0,RU,1538343000,65,56.07,37.56,46.4,13.42
nuuk,92,GL,1538344200,100,64.17,-51.74,35.6,32.21
catuday,24,PH,1538345756,100,16.29,119.81,77.21,1.61
lodeynoye pole,92,RU,1538345756,97,60.73,33.55,46.97,11.79
kaohsiung,75,TW,1538343000,78,22.62,120.31,78.8,2.17
payo,0,ID,1538345756,69,-3.75,103.64,79.55,7.76
kansk,12,RU,1538345756,82,56.21,95.71,40.49,7.54
tacuarembo,92,UY,1538345757,100,-31.73,-55.98,68.84,6.08
sabha,0,LY,1538345757,35,27.03,14.43,75.14,7.43
matoury,0,GF,1538343000,78,4.85,-52.33,82.4,6.93
san carlos de bariloche,90,AR,1538342280,86,-41.13,-71.31,30.2,10.29
petropavlovsk-kamchatskiy,75,RU,1538343000,93,53.05,158.65,42.8,6.71
faya,20,SA,1538341200,22,18.39,42.45,69.8,4.7
puerto del rosario,0,ES,1538344800,88,28.5,-13.86,75.2,10.29
umm lajj,12,SA,1538345758,96,25.02,37.27,80.36,5.19
bahir dar,44,ET,1538345758,83,11.59,37.39,56.33,2.39
tshikapa,36,CD,1538345758,80,-6.42,20.79,76.22,0.94
xuanzhou,0,CN,1538345758,80,30.95,118.78,55.25,3.4
pontian kecil,75,MY,1538344800,100,1.48,103.39,82.4,8.88
itoman,20,JP,1538344560,75,26.12,127.67,77.0,4.7
seymchan,88,RU,1538345759,94,62.93,152.39,28.07,11.23
guarapari,75,BR,1538341200,83,-20.67,-40.5,78.8,9.17
iskateley,12,RU,1538345726,100,67.68,53.15,33.83,16.71
luderitz,0,NA,1538345483,86,-26.65,15.16,56.51,8.77
takoradi,8,GH,1538345759,98,4.89,-1.75,77.3,7.2
san cristobal,40,EC,1538341200,100,-0.39,-78.55,69.8,9.17
sabang,32,PH,1538345760,100,13.72,123.58,77.48,3.85
praia,0,BR,1538341200,57,-20.25,-43.81,77.0,10.29
karratha,0,AU,1538345760,87,-20.74,116.85,56.15,2.95
biala podlaska,0,PL,1538345760,78,52.03,23.12,41.03,9.89
roebourne,0,AU,1538345760,87,-20.77,117.15,56.15,2.95
trofors,92,NO,1538344200,87,65.54,13.39,44.6,11.41
vysokogornyy,20,RU,1538345761,93,50.1,139.13,34.55,2.17
tezu,64,IN,1538345761,96,27.93,96.16,63.17,1.72
nhulunbuy,40,AU,1538344800,69,-12.18,136.78,80.6,12.75
ngaoundere,32,CM,1538345761,95,7.32,13.58,64.88,2.17
bulgan,0,MN,1538345761,66,48.81,103.53,23.57,2.62
rio grande,0,BR,1538343900,83,-32.03,-52.1,69.8,6.93
barcelos,90,PT,1538344800,100,41.53,-8.62,60.8,1.95
deputatskiy,56,RU,1538345762,87,69.3,139.9,21.95,4.52
newport,8,GB,1538344200,81,51.59,-3.0,50.0,9.17
cedar city,1,US,1538344380,21,37.68,-113.06,78.08,24.16
half moon bay,75,US,1538345100,60,37.46,-122.43,78.8,14.99
lishui,76,CN,1538345763,70,28.45,119.91,57.59,2.51
plast,0,RU,1538345763,85,54.37,60.81,36.98,10.45
gongzhuling,44,CN,1538345763,91,43.5,124.81,47.6,18.5
ambilobe,0,MG,1538345763,66,-13.19,49.05,71.63,10.67
bud,75,NO,1538344200,87,62.91,6.91,44.6,8.05
san quintin,40,PH,1538341200,94,17.54,120.52,75.2,2.24
grindavik,75,IS,1538343000,80,63.84,-22.43,39.2,8.05
sobolevo,8,RU,1538345764,73,54.43,31.9,43.37,13.35
klaksvik,36,FO,1538344200,60,62.23,-6.59,39.2,27.51
koumac,80,NC,1538345764,100,-20.56,164.28,68.84,7.43
mastic beach,1,US,1538344560,65,40.77,-72.85,68.0,4.7
gravdal,92,NO,1538344200,76,59.79,5.78,48.2,13.87
gornopravdinsk,92,RU,1538345765,100,60.06,69.92,39.95,7.65
vallenar,0,CL,1538345520,58,-28.58,-70.76,65.69,2.84
naifaru,92,MV,1538345765,98,5.44,73.37,83.51,16.71
kalabo,32,ZM,1538345765,27,-15.0,22.67,82.61,14.03
colares,0,PT,1538344800,88,38.8,-9.45,66.2,9.17
beringovskiy,92,RU,1538345765,98,63.05,179.32,46.52,19.51
coari,44,BR,1538345766,78,-4.09,-63.14,86.03,3.29
lavrentiya,32,RU,1538345766,91,65.58,-170.99,45.98,14.81
dolores,44,AR,1538345544,88,-36.31,-57.68,63.71,14.25
thinadhoo,92,MV,1538345766,100,0.53,72.93,81.98,16.37
columbia,90,US,1538343300,61,38.95,-92.33,80.06,5.82
merauke,0,ID,1538345767,92,-8.49,140.4,74.78,16.37
grobina,64,LV,1538344200,66,56.54,21.17,55.4,14.99
grand gaube,40,MU,1538341200,88,-20.01,57.66,68.0,5.82
ati,0,TD,1538345767,60,13.21,18.34,80.9,4.74
krasnokamensk,0,RU,1538345768,74,50.1,118.04,28.52,3.96
goderich,92,CA,1538345768,100,43.74,-81.71,51.38,5.3
khawhai,48,IN,1538345768,95,23.52,93.19,69.83,0.49
beatrice,90,US,1538344440,97,40.27,-96.75,53.6,6.93
chumikan,0,RU,1538345768,84,54.72,135.31,38.96,8.43
kieta,36,PG,1538345769,100,-6.22,155.63,78.11,3.62
zaraza,32,VE,1538345769,67,9.35,-65.33,88.64,11.68
pytalovo,64,RU,1538345769,61,57.06,27.92,50.03,18.84
rovaniemi,0,FI,1538344200,100,66.5,25.72,37.4,5.82
krasnaya gora,0,RU,1538341200,81,53.01,31.6,44.6,8.95
lamu,88,ID,1538345770,100,0.57,122.3,74.06,2.17
winnemucca,1,US,1538344560,4,40.97,-117.74,73.04,5.82
buchanan,92,LR,1538345770,100,5.88,-10.05,76.94,6.87
omboue,36,GA,1538345770,100,-1.57,9.26,78.2,8.99
reinosa,88,ES,1538344800,77,43.0,-4.14,64.4,4.7
canico,40,PT,1538344800,78,32.63,-16.85,71.6,13.87
bubaque,20,GW,1538344800,94,11.28,-15.83,77.0,3.36
riyadh,0,SA,1538341200,13,24.63,46.72,80.6,4.7
serra talhada,100,BR,1538345771,30,-7.99,-38.29,88.28,5.97
